Period,Stock,Total Assets,Investments,Borrowings,Sales,Net Profit,EPS in Rs,Dividend Payout %,Net Cash Flow
2011-03-01,PGEL,160.0,0.0,68.0,424.0,18,,0%,-5.0
2011-12-01,ABB,6319.0,17.0,0.0,7449.0,185,8.72,34%,-321.0
2012-03-01,PGEL,288.0,30.0,78.0,222.0,-9,-0.53,0%,6.0
2012-12-01,ABB,6504.0,17.0,328.0,7608.0,141,6.65,45%,-173.0
2013-03-01,PGEL,288.0,26.0,80.0,303.0,-5,-0.3,0%,
2014-03-01,ADANIPORTS,24677.0,63.0,12979.0,4830.0,1741,8.4,12%,-606.0
2014-03-01,BEL,14980.0,0.0,0.0,6518.0,952,1.2,20%,-23.0
2014-03-01,BHEL,75331.0,6.0,4693.0,39561.0,3502,9.54,20%,4167.0
2014-03-01,CDSL,455.0,375.0,0.0,89.0,50,2.36,42%,-1.0
2014-03-01,CIPLA,13400.0,709.0,1248.0,10173.0,1404,17.29,12%,33.0
2014-03-01,DRREDDY,15906.0,1067.0,4477.0,13415.0,1963,23.08,16%,342.0
2014-03-01,EXIDEIND,12494.0,7890.0,35.0,8254.0,546,6.41,28%,66.0
2014-03-01,IDEA,46557.0,216.0,20637.0,26519.0,1968,1.8,7%,-811.0
2014-03-01,JMFINANCIL,5930.0,495.0,2988.0,1007.0,225,2.77,36%,48.0
2014-03-01,KOLTEPATIL,1873.0,15.0,337.0,764.0,117,12.15,25%,-56.0
2014-03-01,KOTAKBANK,122197.0,38791.0,,,2527,16.0,2%,2125.0
2014-03-01,LAURUSLABS,1273.0,0.0,605.0,1160.0,97,12.64,0%,12.0
2014-03-01,MOTILALOFS,1848.0,293.0,0.0,467.0,42,0.72,70%,55.0
2014-03-01,NMDC,31444.0,219.0,0.0,12058.0,6371,5.36,53%,1376.0
2014-03-01,PRAJIND,1274.0,91.0,21.0,986.0,57,3.08,72%,-24.0
2014-03-01,RELIANCE,428843.0,60602.0,138761.0,433521.0,22548,16.31,12%,-16096.0
2014-03-01,SAIL,94072.0,91.0,26020.0,46804.0,2652,6.42,31%,-158.0
2014-03-01,SUZLON,30261.0,707.0,17059.0,20403.0,-3548,-11.43,0%,489.0
2014-03-01,TATAMOTORS,218426.0,10687.0,60642.0,232834.0,14050,48.46,5%,4277.0
2014-03-01,VEDL,214120.0,37910.0,80566.0,66152.0,11421,21.25,15%,7659.0
2014-03-01,YESBANK,109005.0,40933.0,,,1611,8.94,18%,1826.0
2014-03-01,ZYDUSLIFE,7986.0,87.0,2700.0,7224.0,836,7.85,23%,-64.0
2015-03-01,ADANIPORTS,32082.0,260.0,17776.0,6152.0,2324,11.18,10%,335.0
2015-03-01,BEL,15729.0,0.0,25.0,7093.0,1197,1.51,20%,386.0
2015-03-01,BHEL,70983.0,6.0,1889.0,31323.0,1450,3.96,20%,-2071.0
2015-03-01,CDSL,491.0,389.0,0.0,105.0,43,2.09,53%,0.0
2015-03-01,CIPLA,15670.0,640.0,1703.0,11345.0,1229,14.71,14%,388.0
2015-03-01,DRREDDY,18457.0,2248.0,4314.0,15023.0,2336,27.43,15%,-280.0
2015-03-01,EXIDEIND,13887.0,8817.0,58.0,9471.0,616,7.23,30%,-79.0
2015-03-01,HAL,64339.0,570.0,165.0,15939.0,2399,24.89,20%,
2015-03-01,IDEA,60467.0,11527.0,26859.0,31571.0,3193,2.7,7%,12720.0
2015-03-01,JMFINANCIL,8505.0,640.0,4723.0,1342.0,379,4.22,32%,-215.0
2015-03-01,KOLTEPATIL,2066.0,6.0,378.0,697.0,102,8.62,23%,-19.0
2015-03-01,KOTAKBANK,148464.0,45589.0,,,3105,19.72,2%,260.0
2015-03-01,LAURUSLABS,1888.0,7.0,888.0,1327.0,68,8.81,0%,24.0
2015-03-01,MOTILALOFS,2945.0,814.0,795.0,772.0,145,2.56,29%,44.0
2015-03-01,NMDC,34464.0,319.0,0.0,12356.0,6351,5.34,53%,33.0
2015-03-01,PAYTM,701.0,112.0,0.0,323.0,-372,-123.02,0%,104.0
2015-03-01,PRAJIND,1144.0,158.0,17.0,1012.0,78,4.3,38%,33.0
2015-03-01,RELIANCE,504486.0,76451.0,168251.0,374372.0,23640,17.07,12%,-21888.0
2015-03-01,SAIL,102849.0,61.0,32146.0,46032.0,1939,4.93,41%,63.0
2015-03-01,SUZLON,21731.0,266.0,17811.0,19954.0,-9133,-19.95,0%,95.0
2015-03-01,TATAMOTORS,237315.0,15337.0,73610.0,263159.0,14073,48.44,0%,4500.0
2015-03-01,VEDL,190281.0,39606.0,77752.0,73710.0,-11369,-52.77,-8%,-284.0
2015-03-01,YESBANK,136143.0,43193.0,,,1997,9.56,19%,1666.0
2015-03-01,ZYDUSLIFE,9047.0,154.0,2651.0,8651.0,1188,11.24,21%,178.0
2016-03-01,ADANIPORTS,38385.0,545.0,22342.0,7109.0,2856,13.99,8%,398.0
2016-03-01,BEL,18605.0,462.0,28.0,7354.0,1337,1.69,31%,472.0
2016-03-01,BHEL,65577.0,796.0,211.0,25505.0,-706,-1.92,-14%,275.0
2016-03-01,CDSL,553.0,457.0,0.0,123.0,91,4.35,29%,1.0
2016-03-01,CIPLA,21049.0,759.0,5202.0,13790.0,1383,16.93,12%,312.0
2016-03-01,DRREDDY,20330.0,3833.0,3352.0,15568.0,2131,24.98,16%,-47.0
2016-03-01,EXIDEIND,15370.0,10446.0,115.0,9477.0,700,8.2,29%,87.0
2016-03-01,HAL,56532.0,916.0,80.0,16758.0,2004,27.72,31%,
2016-03-01,IDEA,80126.0,3471.0,40541.0,35949.0,2728,2.3,8%,-770.0
2016-03-01,JMFINANCIL,11061.0,772.0,6672.0,1685.0,526,5.08,29%,651.0
2016-03-01,KOLTEPATIL,2771.0,3.0,791.0,754.0,62,7.77,19%,18.0
2016-03-01,KOTAKBANK,240804.0,70274.0,,,3524,18.86,3%,4696.0
2016-03-01,LAURUSLABS,2224.0,7.0,1094.0,1778.0,134,16.97,2%,-27.0
2016-03-01,MOTILALOFS,5090.0,1231.0,2589.0,1080.0,172,2.97,29%,96.0
2016-03-01,NMDC,32756.0,592.0,1497.0,6456.0,2544,2.14,171%,-144.0
2016-03-01,PAYTM,3450.0,2308.0,15.0,855.0,-1535,-331.99,0%,304.0
2016-03-01,PRAJIND,1157.0,145.0,16.0,1024.0,82,4.63,35%,-15.0
2016-03-01,RELIANCE,598997.0,84015.0,194714.0,272583.0,29861,21.51,10%,-1262.0
2016-03-01,SAIL,101527.0,2280.0,35141.0,38793.0,-4176,-10.11,0%,-20.0
2016-03-01,SUZLON,9723.0,393.0,11414.0,9483.0,583,0.94,0%,-1914.0
2016-03-01,TATAMOTORS,263184.0,23767.0,69360.0,273046.0,11678,40.11,1%,-2589.0
2016-03-01,VEDL,191980.0,53386.0,67778.0,64262.0,-17862,-41.39,-8%,1206.0
2016-03-01,YESBANK,165243.0,48788.0,,,2530,12.03,17%,662.0
2016-03-01,ZYDUSLIFE,10350.0,416.0,2442.0,9427.0,1964,18.89,17%,99.0
2017-03-01,ADANIGREEN,6160.0,26.0,4347.0,502.0,-47,-0.37,0%,76.0
2017-03-01,ADANIPORTS,43369.0,1161.0,22214.0,8439.0,3902,18.89,7%,109.0
2017-03-01,BEL,17600.0,491.0,64.0,8656.0,1523,2.07,33%,197.0
2017-03-01,BHEL,61698.0,757.0,156.0,28465.0,455,1.25,85%,-473.0
2017-03-01,CDSL,606.0,503.0,0.0,146.0,87,4.1,37%,29.0
2017-03-01,CIPLA,20869.0,973.0,4113.0,14394.0,1035,12.51,16%,-248.0
2017-03-01,DRREDDY,21654.0,2110.0,4918.0,14196.0,1292,15.59,26%,-114.0
2017-03-01,EXIDEIND,17765.0,11884.0,187.0,11179.0,804,9.42,25%,28.0
2017-03-01,HAL,51744.0,994.0,1022.0,17950.0,2625,36.3,30%,2443.0
2017-03-01,IDEA,96668.0,6378.0,55055.0,35576.0,-400,-0.34,0%,-574.0
2017-03-01,JMFINANCIL,16545.0,2156.0,9444.0,2359.0,649,5.92,25%,-448.0
2017-03-01,KOLTEPATIL,2862.0,4.0,762.0,964.0,85,11.51,14%,10.0
2017-03-01,KOTAKBANK,276188.0,68462.0,,,5019,26.84,2%,13989.0
2017-03-01,LAURUSLABS,2653.0,3.0,842.0,1905.0,190,3.6,8%,-10.0
2017-03-01,MOTILALOFS,8439.0,1767.0,5067.0,1923.0,371,6.23,22%,125.0
2017-03-01,NMDC,25784.0,612.0,0.0,8828.0,2543,2.68,64%,31.0
2017-03-01,PRAJIND,1187.0,134.0,4.0,915.0,45,2.49,65%,9.0
2017-03-01,RELIANCE,706802.0,82899.0,217475.0,303954.0,29833,21.55,11%,-8034.0
2017-03-01,SAIL,107843.0,2475.0,41396.0,44210.0,-2756,-6.67,0%,-5.0
2017-03-01,SUZLON,12160.0,670.0,11114.0,12714.0,852,1.38,0%,-290.0
2017-03-01,TATAMOTORS,272580.0,20338.0,78604.0,269693.0,7557,25.82,0%,-3167.0
2017-03-01,VEDL,196946.0,46962.0,71569.0,72225.0,11316,23.47,83%,8339.0
2017-03-01,YESBANK,215060.0,49982.0,,,3340,14.63,16%,11336.0
2017-03-01,ZYDUSLIFE,15104.0,435.0,5207.0,9376.0,1517,14.53,22%,756.0
2018-03-01,ADANIGREEN,15709.0,87.0,9864.0,1480.0,-138,-1.0,0%,162.0
2018-03-01,ADANIPORTS,47233.0,1079.0,22370.0,11323.0,3690,17.74,11%,-127.0
2018-03-01,BEL,18965.0,937.0,80.0,10401.0,1431,1.96,34%,-1895.0
2018-03-01,BHEL,63940.0,429.0,110.0,28827.0,438,1.2,151%,1283.0
2018-03-01,CDSL,690.0,521.0,0.0,188.0,104,4.94,35%,-26.0
2018-03-01,CIPLA,22673.0,1259.0,4098.0,15156.0,1417,17.52,17%,243.0
2018-03-01,DRREDDY,22349.0,2298.0,5071.0,14281.0,947,11.41,35%,-124.0
2018-03-01,EXIDEIND,19815.0,12490.0,60.0,12808.0,694,8.13,30%,-6.0
2018-03-01,HAL,48463.0,1010.0,905.0,18520.0,1990,29.76,54%,-2691.0
2018-03-01,IDEA,98511.0,7290.0,57985.0,28279.0,-4168,-2.91,0%,-46.0
2018-03-01,JMFINANCIL,22206.0,2388.0,14988.0,3062.0,785,7.17,25%,247.0
2018-03-01,KOLTEPATIL,2662.0,0.0,690.0,1403.0,154,16.03,12%,13.0
2018-03-01,KOTAKBANK,337720.0,90977.0,,,6258,32.54,2%,-1188.0
2018-03-01,LAURUSLABS,3017.0,3.0,980.0,2056.0,168,3.16,9%,1.0
2018-03-01,MOTILALOFS,10411.0,2807.0,5323.0,2751.0,632,10.72,20%,-7.0
2018-03-01,NMDC,28691.0,673.0,500.0,11615.0,3808,4.01,36%,-46.0
2018-03-01,PRAJIND,1133.0,201.0,6.0,917.0,39,2.18,74%,8.0
2018-03-01,RELIANCE,811273.0,82862.0,239843.0,390823.0,36080,26.69,10%,1266.0
2018-03-01,SAIL,115694.0,2629.0,45409.0,57496.0,-281,-0.68,0%,-47.0
2018-03-01,SUZLON,11121.0,67.0,11996.0,8116.0,-384,-0.57,0%,245.0
2018-03-01,TATAMOTORS,327192.0,20813.0,88950.0,291550.0,9091,31.13,0%,730.0
2018-03-01,VEDL,180367.0,28700.0,58159.0,91866.0,13692,27.82,76%,-6409.0
2018-03-01,YESBANK,312450.0,68293.0,,,4233,18.38,15%,5199.0
2018-03-01,ZYDUSLIFE,17783.0,746.0,5407.0,11905.0,1810,17.35,20%,-3.0
2019-03-01,ADANIGREEN,14658.0,77.0,11142.0,2058.0,-475,-3.03,0%,3.0
2019-03-01,ADANIPORTS,56311.0,782.0,27712.0,10925.0,4045,19.27,1%,3975.0
2019-03-01,BEL,20821.0,964.0,34.0,12164.0,1887,2.58,44%,-45.0
2019-03-01,BHEL,64490.0,152.0,2598.0,30441.0,1002,2.89,69%,-1973.0
2019-03-01,CDSL,784.0,593.0,0.0,196.0,115,5.43,37%,-1.0
2019-03-01,CIPLA,23762.0,2554.0,4316.0,16362.0,1492,18.96,16%,-345.0
2019-03-01,DRREDDY,22418.0,2587.0,3838.0,15448.0,1950,23.49,17%,-31.0
2019-03-01,EXIDEIND,22431.0,14328.0,89.0,14721.0,847,9.95,24%,32.0
2019-03-01,HAL,51496.0,910.0,4116.0,20008.0,2328,34.82,28%,-80.0
2019-03-01,IDEA,229652.0,8239.0,125940.0,37092.0,-14604,-5.08,0%,758.0
2019-03-01,JMFINANCIL,22640.0,2933.0,13991.0,3494.0,837,6.81,15%,103.0
2019-03-01,KOLTEPATIL,3627.0,3.0,807.0,866.0,99,9.95,24%,-36.0
2019-03-01,KOTAKBANK,395171.0,103487.0,,,7204,37.74,2%,6864.0
2019-03-01,KPITTECH,1674.0,50.0,132.0,641.0,55,1.98,37%,201.0
2019-03-01,LAURUSLABS,3331.0,3.0,1036.0,2292.0,94,1.76,17%,0.0
2019-03-01,MOTILALOFS,10360.0,2686.0,5158.0,2450.0,298,5.04,42%,68.0
2019-03-01,NMDC,29891.0,859.0,364.0,12153.0,4617,5.03,37%,11.0
2019-03-01,PAYTM,8764.0,2849.0,932.0,3224.0,-4231,-726.78,0%,-460.0
2019-03-01,PRAJIND,1247.0,211.0,0.0,1141.0,68,3.73,57%,-14.0
2019-03-01,RELIANCE,997630.0,235635.0,307714.0,568337.0,39837,29.28,10%,3745.0
2019-03-01,SAIL,118201.0,2975.0,45170.0,66973.0,2349,5.69,9%,-28.0
2019-03-01,SKIPPER,1653.0,9.0,523.0,1871.0,31,2.76,8%,0.0
2019-03-01,SUZLON,8871.0,20.0,11552.0,5025.0,-1537,-2.32,0%,-506.0
2019-03-01,TATAMOTORS,305703.0,15771.0,106175.0,301938.0,-28724,-99.84,0%,6843.0
2019-03-01,VEDL,198568.0,33065.0,66226.0,92048.0,9698,19.01,99%,2918.0
2019-03-01,YESBANK,380860.0,89329.0,,,1709,7.38,27%,2231.0
2019-03-01,ZYDUSLIFE,23231.0,674.0,7899.0,13166.0,1899,18.06,19%,-811.0
2020-03-01,ADANIGREEN,18424.0,476.0,14866.0,2549.0,-68,-0.15,0%,383.0
2020-03-01,ADANIPORTS,61917.0,1178.0,30242.0,11873.0,3785,18.52,17%,2397.0
2020-03-01,BEL,24351.0,1110.0,8.0,12968.0,1825,2.5,37%,861.0
2020-03-01,BHEL,60291.0,162.0,5080.0,21463.0,-1468,-4.21,0%,608.0
2020-03-01,CDSL,862.0,665.0,0.0,225.0,107,5.08,44%,-1.0
2020-03-01,CIPLA,23423.0,1471.0,2816.0,17132.0,1500,19.18,21%,234.0
2020-03-01,DRREDDY,23223.0,2678.0,2210.0,17517.0,2026,24.38,21%,-27.0
2020-03-01,EXIDEIND,24351.0,15816.0,196.0,14471.0,762,9.14,45%,-9.0
2020-03-01,HAL,54203.0,991.0,5927.0,21445.0,2883,43.1,39%,252.0
2020-03-01,IDEA,226918.0,1979.0,114996.0,44958.0,-73878,-25.71,0%,-389.0
2020-03-01,JMFINANCIL,20746.0,4014.0,11756.0,3446.0,778,6.48,3%,58.0
2020-03-01,KAYNES,378.0,2.0,153.0,368.0,9,13.94,0%,0.0
2020-03-01,KOLTEPATIL,3730.0,1.0,747.0,1130.0,100,9.55,0%,39.0
2020-03-01,KOTAKBANK,443173.0,111197.0,,,8593,44.92,0%,32815.0
2020-03-01,KPITTECH,1637.0,9.0,204.0,2156.0,148,5.38,18%,75.0
2020-03-01,LAURUSLABS,3750.0,3.0,1079.0,2832.0,255,4.77,10%,-1.0
