Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Stock,Revenue +,Financing Profit,Financing Margin %
2011-03-01,424,396,28,7%,3,6,2,23,23%,18,,0%,PGEL,,,
2011-12-01,7449,7093,356,5%,38,46,80,268,31%,185,8.72,34%,ABB,,,
2012-03-01,222,219,3,1%,4,11,5,-9,0%,-9,-0.53,0%,PGEL,,,
2012-12-01,7608,7253,355,5%,7,57,94,211,33%,141,6.65,45%,ABB,,,
2013-03-01,303,298,5,2%,7,11,9,-9,-43%,-5,-0.30,0%,PGEL,,,
2014-03-01,4830,1910,2919,60%,685,977,649,1978,12%,1741,8.40,12%,ADANIPORTS,,,
2014-03-01,6518,5593,925,14%,438,7,150,1206,21%,952,1.20,20%,BEL,,,
2014-03-01,39561,34982,4579,12%,1617,133,985,5078,31%,3502,9.54,20%,BHEL,,,
2014-03-01,89,56,33,37%,35,0,5,62,21%,50,2.36,42%,CDSL,,,
2014-03-01,10173,8026,2147,21%,251,146,373,1880,25%,1404,17.29,12%,CIPLA,,,
2014-03-01,13415,10164,3251,24%,170,127,648,2646,26%,1963,23.08,16%,DRREDDY,,,
2014-03-01,8254,7385,869,11%,73,14,140,787,31%,546,6.41,28%,EXIDEIND,,,
2014-03-01,26519,18237,8282,31%,247,966,4519,3044,35%,1968,1.80,7%,IDEA,,,
2014-03-01,1007,402,605,60%,-1,308,15,280,29%,225,2.77,36%,JMFINANCIL,,,
2014-03-01,764,543,221,29%,15,46,7,183,36%,117,12.15,25%,KOLTEPATIL,,,
2014-03-01,,7053,,,5282,6312,208,3695,32%,2527,16.00,2%,KOTAKBANK,11986,-1379,-12%
2014-03-01,1160,951,208,18%,9,64,33,121,20%,97,12.64,0%,LAURUSLABS,,,
2014-03-01,467,326,141,30%,-54,3,24,59,30%,42,0.72,70%,MOTILALOFS,,,
2014-03-01,12058,4335,7723,64%,2182,2,151,9753,34%,6371,5.36,53%,NMDC,,,
2014-03-01,986,907,79,8%,23,1,24,77,27%,57,3.08,72%,PRAJIND,,,
2014-03-01,433521,398586,34935,8%,8865,3836,11201,28763,22%,22548,16.31,12%,RELIANCE,,,
2014-03-01,46804,42646,4157,9%,2071,1047,1836,3346,21%,2652,6.42,31%,SAIL,,,
2014-03-01,20403,20465,-62,-0%,-495,2070,777,-3404,4%,-3548,-11.43,0%,SUZLON,,,
2014-03-01,232834,197980,34853,15%,-157,4749,11078,18869,25%,14050,48.46,5%,TATAMOTORS,,,
2014-03-01,66152,46557,19595,30%,1874,5094,6882,9493,-9%,11421,21.25,15%,VEDL,,,
2014-03-01,,2055,,,1722,7265,64,2320,31%,1611,8.94,18%,YESBANK,9981,662,7%
2014-03-01,7224,6021,1203,17%,30,90,201,942,11%,836,7.85,23%,ZYDUSLIFE,,,
2015-03-01,6152,2250,3902,63%,686,1175,912,2501,7%,2324,11.18,10%,ADANIPORTS,,,
2015-03-01,7093,5913,1179,17%,507,7,166,1513,21%,1197,1.51,20%,BEL,,,
2015-03-01,31323,29183,2141,7%,1221,92,1082,2187,34%,1450,3.96,20%,BHEL,,,
2015-03-01,105,60,45,43%,23,0,6,63,31%,43,2.09,53%,CDSL,,,
2015-03-01,11345,9183,2163,19%,164,168,505,1654,24%,1229,14.71,14%,CIPLA,,,
2015-03-01,15023,11515,3508,23%,260,108,760,2900,19%,2336,27.43,15%,DRREDDY,,,
2015-03-01,9471,8528,944,10%,94,9,155,874,29%,616,7.23,30%,EXIDEIND,,,
2015-03-01,15939,13560,2379,15%,1650,15,822,3191,25%,2399,24.89,20%,HAL,,,
2015-03-01,31571,20771,10800,34%,497,1060,5304,4933,35%,3193,2.70,7%,IDEA,,,
2015-03-01,1342,448,895,67%,61,420,18,517,30%,379,4.22,32%,JMFINANCIL,,,
2015-03-01,697,492,204,29%,12,44,10,162,37%,102,8.62,23%,KOLTEPATIL,,,
2015-03-01,,9718,,,8152,6966,237,4550,33%,3105,19.72,2%,KOTAKBANK,13319,-3366,-25%
2015-03-01,1327,1126,200,15%,34,106,62,67,-2%,68,8.81,0%,LAURUSLABS,,,
2015-03-01,772,516,256,33%,1,31,31,196,27%,145,2.56,29%,MOTILALOFS,,,
2015-03-01,12356,4591,7765,63%,2155,0,173,9747,34%,6351,5.34,53%,NMDC,,,
2015-03-01,323,683,-360,-111%,16,2,21,-367,1%,-372,-123.02,0%,PAYTM,,,
2015-03-01,1012,919,93,9%,34,2,38,86,9%,78,4.30,38%,PRAJIND,,,
2015-03-01,374372,336923,37449,10%,8528,3316,11547,31114,24%,23640,17.07,12%,RELIANCE,,,
2015-03-01,46032,41217,4815,10%,892,1555,1907,2245,14%,1939,4.93,41%,SAIL,,,
2015-03-01,19954,25703,-5749,-29%,-194,2065,809,-8816,4%,-9133,-19.95,0%,SUZLON,,,
2015-03-01,263159,223920,39239,15%,714,4861,13389,21703,35%,14073,48.44,0%,TATAMOTORS,,,
2015-03-01,73710,51595,22114,30%,-19222,5659,7159,-9925,15%,-11369,-52.77,-8%,VEDL,,,
2015-03-01,,2548,,,2048,8083,86,2902,31%,1997,9.56,19%,YESBANK,11572,940,8%
2015-03-01,8651,6896,1756,20%,45,68,287,1446,18%,1188,11.24,21%,ZYDUSLIFE,,,
2016-03-01,7109,2532,4577,64%,730,1124,1063,3119,9%,2856,13.99,8%,ADANIPORTS,,,
2016-03-01,7354,5961,1393,19%,573,10,192,1764,24%,1337,1.69,31%,BEL,,,
2016-03-01,25505,26862,-1357,-5%,1492,360,937,-1161,-39%,-706,-1.92,-14%,BHEL,,,
2016-03-01,123,59,64,52%,72,0,4,131,31%,91,4.35,29%,CDSL,,,
2016-03-01,13790,11310,2480,18%,208,207,754,1727,19%,1383,16.93,12%,CIPLA,,,
2016-03-01,15568,11983,3585,23%,295,83,939,2859,26%,2131,24.98,16%,DRREDDY,,,
2016-03-01,9477,8289,1187,13%,59,79,175,992,29%,700,8.20,29%,EXIDEIND,,,
2016-03-01,16758,14285,2474,15%,1608,6,863,3213,38%,2004,27.72,31%,HAL,,,
2016-03-01,35949,24281,11668,32%,641,1803,6256,4250,36%,2728,2.30,8%,IDEA,,,
2016-03-01,1685,459,1225,73%,-0,512,20,693,32%,526,5.08,29%,JMFINANCIL,,,
2016-03-01,754,555,198,26%,17,84,15,116,46%,62,7.77,19%,KOLTEPATIL,,,
2016-03-01,,11541,,,7631,11123,345,5024,32%,3524,18.86,3%,KOTAKBANK,20402,-2263,-11%
2016-03-01,1778,1415,362,20%,4,111,86,169,21%,134,16.97,2%,LAURUSLABS,,,
2016-03-01,1080,647,432,40%,1,174,35,225,27%,172,2.97,29%,MOTILALOFS,,,
2016-03-01,6456,3771,2685,42%,1682,66,218,4084,34%,2544,2.14,171%,NMDC,,,
2016-03-01,855,2523,-1668,-195%,164,1,28,-1534,0%,-1535,-331.99,0%,PAYTM,,,
2016-03-01,1024,910,114,11%,18,2,25,105,22%,82,4.63,35%,PRAJIND,,,
2016-03-01,272583,230802,41781,15%,12212,3691,11565,38737,23%,29861,21.51,10%,RELIANCE,,,
2016-03-01,38793,41628,-2834,-7%,425,2300,2404,-7114,-41%,-4176,-10.11,0%,SAIL,,,
2016-03-01,9483,9767,-283,-3%,2563,1304,392,584,-4%,583,0.94,0%,SUZLON,,,
2016-03-01,273046,234650,38395,14%,-2670,4889,16711,14126,21%,11678,40.11,1%,TATAMOTORS,,,
2016-03-01,64262,82741,-18479,-29%,4290,5778,8572,-28540,-37%,-17862,-41.39,-8%,VEDL,,,
2016-03-01,,3429,,,2729,8965,112,3756,33%,2530,12.03,17%,YESBANK,13533,1139,8%
2016-03-01,9427,7095,2332,25%,112,53,292,2099,8%,1964,18.89,17%,ZYDUSLIFE,,,
2017-03-01,502,98,403,80%,80,334,333,-184,-75%,-47,-0.37,0%,ADANIGREEN,,,
2017-03-01,8439,3021,5418,64%,1037,1116,1160,4179,7%,3902,18.89,7%,ADANIPORTS,,,
2017-03-01,8656,6864,1792,21%,420,18,212,1983,24%,1523,2.07,33%,BEL,,,
2017-03-01,28465,27370,1095,4%,753,413,850,586,22%,455,1.25,85%,BHEL,,,
2017-03-01,146,67,79,54%,41,0,4,117,26%,87,4.10,37%,CDSL,,,
2017-03-01,14394,11898,2496,17%,208,159,1323,1222,15%,1035,12.51,16%,CIPLA,,,
2017-03-01,14196,11724,2472,17%,172,63,1027,1554,19%,1292,15.59,26%,DRREDDY,,,
2017-03-01,11179,9805,1374,12%,102,153,226,1097,27%,804,9.42,25%,EXIDEIND,,,
2017-03-01,17950,14719,3231,18%,1058,16,681,3592,27%,2625,36.30,30%,HAL,,,
2017-03-01,35576,25348,10227,29%,746,4010,7827,-863,-54%,-400,-0.34,0%,IDEA,,,
2017-03-01,2359,582,1777,75%,-0,782,23,972,34%,649,5.92,25%,JMFINANCIL,,,
2017-03-01,964,726,238,25%,10,86,15,147,42%,85,11.51,14%,KOLTEPATIL,,,
2017-03-01,,14832,,,11660,11458,362,7332,32%,5019,26.84,2%,KOTAKBANK,22324,-3965,-18%
2017-03-01,1905,1497,408,21%,32,100,106,234,19%,190,3.60,8%,LAURUSLABS,,,
2017-03-01,1923,915,1008,52%,-27,442,33,506,28%,371,6.23,22%,MOTILALOFS,,,
2017-03-01,8828,5233,3595,41%,910,21,197,4287,40%,2543,2.68,64%,NMDC,,,
2017-03-01,915,846,69,8%,22,1,22,68,34%,45,2.49,65%,PRAJIND,,,
2017-03-01,303954,257647,46307,15%,9222,3849,11646,40034,25%,29833,21.55,11%,RELIANCE,,,
2017-03-01,44210,44094,115,0%,378,2528,2682,-4716,-42%,-2756,-6.67,0%,SAIL,,,
2017-03-01,12714,10235,2479,20%,109,1288,389,912,1%,852,1.38,0%,SUZLON,,,
2017-03-01,269693,240104,29589,11%,1869,4238,17905,9315,35%,7557,25.82,0%,TATAMOTORS,,,
2017-03-01,72225,50849,21376,30%,4423,5855,6292,13652,17%,11316,23.47,83%,VEDL,,,
2017-03-01,,4790,,,4218,10627,173,5053,34%,3340,14.63,16%,YESBANK,16425,1008,6%
2017-03-01,9376,7474,1902,20%,127,45,373,1612,8%,1517,14.53,22%,ZYDUSLIFE,,,
2018-03-01,1480,637,843,57%,42,552,543,-210,-35%,-138,-1.00,0%,ADANIGREEN,,,
2018-03-01,11323,4166,7157,63%,844,1579,1188,5234,30%,3690,17.74,11%,ADANIPORTS,,,
2018-03-01,10401,8361,2039,20%,196,6,272,1957,28%,1431,1.96,34%,BEL,,,
2018-03-01,28827,27174,1653,6%,679,330,787,1215,64%,438,1.20,151%,BHEL,,,
2018-03-01,188,77,110,59%,38,0,7,141,27%,104,4.94,35%,CDSL,,,
2018-03-01,15156,12329,2826,19%,280,114,1323,1669,15%,1417,17.52,17%,CIPLA,,,
2018-03-01,14281,11930,2351,16%,155,79,1077,1350,32%,947,11.41,35%,DRREDDY,,,
2018-03-01,12808,11400,1408,11%,21,114,267,1048,34%,694,8.13,30%,EXIDEIND,,,
2018-03-01,18520,15071,3449,19%,776,35,947,3243,39%,1990,29.76,54%,HAL,,,
2018-03-01,28279,22224,6054,21%,703,4847,8409,-6499,-36%,-4168,-2.91,0%,IDEA,,,
2018-03-01,3062,767,2295,75%,35,1139,26,1165,33%,785,7.17,25%,JMFINANCIL,,,
2018-03-01,1403,1100,303,22%,14,99,15,203,24%,154,16.03,12%,KOLTEPATIL,,,
2018-03-01,,16805,,,13682,12467,383,9158,33%,6258,32.54,2%,KOTAKBANK,25131,-4141,-16%
2018-03-01,2056,1642,414,20%,29,80,125,237,29%,168,3.16,9%,LAURUSLABS,,,
2018-03-01,2751,1357,1394,51%,1,528,37,829,25%,632,10.72,20%,MOTILALOFS,,,
2018-03-01,11615,5812,5803,50%,667,37,257,6176,38%,3808,4.01,36%,NMDC,,,
2018-03-01,917,865,52,6%,27,1,24,53,26%,39,2.18,74%,PRAJIND,,,
2018-03-01,390823,326508,64315,16%,9869,8052,16706,49426,27%,36080,26.69,10%,RELIANCE,,,
2018-03-01,57496,52788,4708,8%,654,2823,3066,-527,-47%,-281,-0.68,0%,SAIL,,,
2018-03-01,8116,7140,977,12%,555,1581,342,-391,-0%,-384,-0.57,0%,SUZLON,,,
2018-03-01,291550,260093,31458,11%,5933,4682,21554,11155,39%,9091,31.13,0%,TATAMOTORS,,,
2018-03-01,91866,66989,24877,27%,6087,5112,6283,19569,30%,13692,27.82,76%,VEDL,,,
2018-03-01,,6595,,,5293,12529,232,6205,32%,4233,18.38,15%,YESBANK,20269,1144,6%
2018-03-01,11905,9074,2831,24%,111,91,539,2312,24%,1810,17.35,20%,ZYDUSLIFE,,,
2019-03-01,2058,532,1526,74%,73,1121,1062,-585,-19%,-475,-3.03,0%,ADANIGREEN,,,
2019-03-01,10925,4330,6596,60%,1289,1385,1373,5126,21%,4045,19.27,1%,ADANIPORTS,,,
2019-03-01,12164,9255,2909,24%,73,16,338,2628,30%,1887,2.58,44%,BEL,,,
2019-03-01,30441,28409,2032,7%,662,378,476,1840,46%,1002,2.89,69%,BHEL,,,
2019-03-01,196,87,109,56%,49,0,10,148,23%,115,5.43,37%,CDSL,,,
2019-03-01,16362,13265,3097,19%,477,168,1326,2079,27%,1492,18.96,16%,CIPLA,,,
2019-03-01,15448,12270,3178,21%,381,89,1135,2336,17%,1950,23.49,17%,DRREDDY,,,
2019-03-01,14721,13159,1562,11%,148,117,344,1249,32%,847,9.95,24%,EXIDEIND,,,
2019-03-01,20008,15457,4551,23%,376,178,1025,3725,37%,2328,34.82,28%,HAL,,,
2019-03-01,37092,32976,4116,11%,1789,9545,14536,-18175,-20%,-14604,-5.08,0%,IDEA,,,
2019-03-01,3494,743,2751,79%,6,1446,27,1283,35%,837,6.81,15%,JMFINANCIL,,,
2019-03-01,866,619,247,29%,11,92,15,151,34%,99,9.95,24%,KOLTEPATIL,,,
2019-03-01,,19758,,,16148,15187,458,10576,33%,7204,37.74,2%,KOTAKBANK,29831,-5114,-17%
2019-03-01,641,550,92,14%,1,7,19,67,18%,55,1.98,37%,KPITTECH,,,
2019-03-01,2292,1935,357,16%,15,88,164,120,22%,94,1.76,17%,LAURUSLABS,,,
2019-03-01,2450,1543,907,37%,12,517,24,378,25%,298,5.04,42%,MOTILALOFS,,,
2019-03-01,12153,5228,6925,57%,588,40,279,7194,36%,4617,5.03,37%,NMDC,,,
2019-03-01,3224,7592,-4368,-135%,280,38,112,-4237,-0%,-4231,-726.78,0%,PAYTM,,,
2019-03-01,1141,1062,79,7%,32,1,23,88,22%,68,3.73,57%,PRAJIND,,,
2019-03-01,568337,484087,84250,15%,8406,16495,20934,55227,28%,39837,29.28,10%,RELIANCE,,,
2019-03-01,66973,57167,9807,15%,283,3155,3385,3549,34%,2349,5.69,9%,SAIL,,,
2019-03-01,1871,1689,182,10%,1,102,38,43,27%,31,2.76,8%,SKIPPER,,,
2019-03-01,5025,5048,-23,-0%,92,1270,342,-1543,-1%,-1537,-2.32,0%,SUZLON,,,
2019-03-01,301938,277274,24664,8%,-26686,5759,23591,-31371,-8%,-28724,-99.84,0%,TATAMOTORS,,,
2019-03-01,92048,68877,23171,25%,4270,5689,8192,13560,28%,9698,19.01,99%,VEDL,,,
2019-03-01,,11834,,,4675,19811,305,2349,27%,1709,7.38,27%,YESBANK,29624,-2021,-7%
2019-03-01,13166,10174,2991,23%,183,194,599,2382,22%,1899,18.06,19%,ZYDUSLIFE,,,
2020-03-01,2549,1098,1450,57%,-111,995,394,-50,23%,-68,-0.15,0%,ADANIGREEN,,,
2020-03-01,11873,5926,5947,50%,1928,1951,1680,4244,11%,3785,18.52,17%,ADANIPORTS,,,
2020-03-01,12968,10209,2759,21%,99,8,372,2478,28%,1825,2.50,37%,BEL,,,
2020-03-01,21463,21596,-133,-1%,590,613,503,-659,123%,-1468,-4.21,0%,BHEL,,,
2020-03-01,225,136,89,40%,59,0,12,136,22%,107,5.08,44%,CDSL,,,
2020-03-01,17132,13926,3206,19%,344,197,1175,2178,29%,1500,19.18,21%,CIPLA,,,
2020-03-01,17517,15040,2477,14%,670,98,1163,1886,-7%,2026,24.38,21%,DRREDDY,,,
2020-03-01,14471,13014,1457,10%,40,108,418,972,22%,762,9.14,45%,EXIDEIND,,,
2020-03-01,21445,16531,4914,23%,423,360,999,3979,28%,2883,43.10,39%,HAL,,,
2020-03-01,44958,30042,14916,33%,-36964,15393,24356,-61797,20%,-73878,-25.71,0%,IDEA,,,
2020-03-01,3446,933,2513,73%,8,1386,41,1094,29%,778,6.48,3%,JMFINANCIL,,,
2020-03-01,368,325,43,12%,1,25,8,11,17%,9,13.94,0%,KAYNES,,,
2020-03-01,1130,896,234,21%,47,80,17,184,46%,100,9.55,0%,KOLTEPATIL,,,
2020-03-01,,22578,,,16892,15901,465,11422,25%,8593,44.92,0%,KOTAKBANK,33474,-5005,-15%
2020-03-01,2156,1866,290,13%,19,20,108,181,18%,148,5.38,18%,KPITTECH,,,
2020-03-01,2832,2266,565,20%,5,90,187,294,13%,255,4.77,10%,LAURUSLABS,,,
